Dry Cleaning
2 Piece Suit, 10.99
Jacket, 7.99
Trousers, 5.49
Tie, 4.00
Dinner Suit, 12.99
Top/Blouse, 5.99
Dress (plain), 9.99
Evening Dresses, 15.99
skirt, 5.99
Pleated Skirt, 6.50
Long Coat, 12.99
Short Coat, 8.99
Scarf, 4.99
Pashmina, 8.00
Jumper, 5.50
Waistcoat, 4.00
Shirt, 4.9
Shirt Hanging
Single Shirt, 2.20 
5 Shirts Offer, 9.99 
10 Shirts, 18.99 
Shirt Folded
Single Shirt, 2.70
5 Folded Shirts, 12.99
Womens Shirt Hanging
Single Shirt/Blouse, 3.50
5 Shirt/Blouse Offer, 14.00
Folded Womens shirt, 4.50
Ironing Service
Single Mens Shirt, 1.65
5 Mens Shirts, 8.00
Single Womens Shirt, 2.65
5 Womens Shirts, 12.00
Laundry Service
Standard Load (upto 6kg) , 13.99
Large Load (upto 12kg) , 24.99
Household
Duvet Cover Single, 4.99
Duvet Cover Double, 7.99
Single Sheet, 3.99
Double Sheet, 4.99
Pillow Case, 2.20
Single Duvet, 16.00
Double Duvet, 22.00
King Duvet, 28.00
Towel Small, 3.50
Towel Medium, 4.50
Towel Large, 5.50
Mattress Protector, 18.99
Blanket, 15.00
Bed Spread, 18.99
Curtains Lined(Sq Meter) , 8.00
Curtains Unlined(Sq Meter) , 6.99
Repairs/Alterations
Rip Repair, 4.00
Patch Repair, 5.00
Small Button(Shirt or blouse) , 0
Medium Button(Suit or Coat) , 2.50
Trouser shorten/lenghten, 10.99
With Tape/turn-ups, 12.99
Waist Take in/out, 12.00
Re-hem 1 Leg, 4.99
Re-hem Both Legs, 9.50
Half Pocket, 7.00
Full Pocket, 11.00
Zip Replacement
Trouser zip, 12.00
Dress InvisibleZip, 15.00 
Dress Shortening, 20.00
Suit Jacket Take Up, 20.00
Sleeves Shorten/Lengthen, 17.00
